Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Paranormal Activity 3,1,81,R,5,77,3329,52568183,104028807,68,51,2011,10,17.77762161,15.42494847,8.110427238,18.46017841
Just Go With It,1,110,PG-13,80,98,3548,30514732,103028109,19,60,2011,2,17.23372014,18.19753719,8.174139343,18.45051241
The Girl with the Dragon Tattoo (2011),1,160,R,90,93,2950,12768604,102515793,86,86,2011,12,16.3624999,18.31532023,7.989560449,18.44552742
Bad Teacher,1,89,R,20,112,3049,31603106,100292856,45,36,2011,6,17.26876596,16.81124283,8.022568947,18.42360502
Cowboys & Aliens,1,118,PG-13,163,98,3754,36431290,100240551,44,44,2011,7,17.41093858,18.90926076,8.230577217,18.42308337
Gnomeo and Juliet,1,84,G,36,132,3037,25356909,99967670,55,55,2011,2,17.0485618,17.3990295,8.018625465,18.42035739
The Green Hornet,1,108,PG-13,120,97,3584,33526876,98780042,43,43,2011,1,17.32785794,18.6030023,8.184234774,18.40840614
The Muppets,1,120,PG,45,135,3440,29239026,88631237,96,80,2011,11,17.19101488,17.62217305,8.14322675,18.29999492
Real Steel,1,127,PG-13,110,133,3440,27319677,85468508,60,73,2011,10,17.12311777,18.51599092,8.14322675,18.26365854
"Crazy, Stupid, Love",1,107,PG-13,50,119,3020,19104303,84351197,78,77,2011,7,16.76542416,17.72753356,8.01301211,18.25049956
Battle: Los Angeles,1,116,PG-13,70,83,3417,35573187,83552429,35,48,2011,3,17.38710274,18.0640058,8.136518252,18.24098488
Immortals,0,110,R,75,105,3120,32206425,83504017,35,49,2011,11,17.28767652,18.13299867,8.045588281,18.2404053
Zookeeper,1,104,PG,80,112,3482,20065617,80360843,14,41,2011,7,16.81451831,18.19753719,8.15536212,18.20203759
Limitless,0,105,PG-13,27,112,2838,18907302,79249455,70,73,2011,3,16.75505875,17.11134742,7.950854858,18.18811109
