Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
The Twilight Saga: Breaking Dawn Part 1,0,108,PG-13,110,98,4066,138122261,281287133,24,59,2011,11,18.7436498001754,18.5159909237567,8.31041499418829,19.4548865312124
The Hangover Part II,1,102,R,80,113,3675,85946294,254464305,34,53,2011,5,18.2692331707716,18.1975371926382,8.20930841164694,19.3546711287154
Pirates of the Caribbean: On Stranger Tides,1,137,PG-13,250,133,4164,90151958,241071802,33,54,2011,5,18.3170072267344,19.3369714758265,8.33423142973486,19.3006053806915
Fast Five,1,130,PG-13,125,105,3793,86198765,209837675,77,82,2011,4,18.2721664083851,18.6438242952666,8.2409125416889,19.1618448135911
Cars 2,1,113,G,200,175,4115,66135507,191452396,39,51,2011,6,18.0072163315503,19.1138279245123,8.32239411311117,19.0701497508262
Sherlock Holmes: A Game of Shadows,1,128,PG-13,125,112,3703,39637079,186848418,60,77,2011,12,17.4952755765172,18.6438242952666,8.21689858091361,19.0458082471754
Thor,1,115,PG-13,150,112,3963,65723338,181030624,77,76,2011,5,18.0009646410791,18.8261458520605,8.28475659319044,19.0141767682887
Rise of the Planet of the Apes,1,110,PG-13,93,132,3691,54806191,176760185,82,77,2011,8,17.8193137199897,18.3481100511175,8.21365270303,18.9903044848431
Captain America: The First Avenger,1,125,PG-13,140,112,3715,65058524,176654505,79,74,2011,7,17.9907977920014,18.7571529805736,8.22013395715186,18.9897064338501
The Help,1,137,PG-13,25,212,3014,26044590,169708112,76,89,2011,8,17.0753206270525,17.0343863828325,8.01102337918644,18.9495905310655
Bridesmaids,1,125,R,32.5,140,2958,26247410,169106725,90,76,2011,5,17.0830778754674,17.2967506473,7.99226864327075,18.9460405824453
Kung Fu Panda 2,1,91,PG,150,127,3952,47656302,165249063,81,74,2011,5,17.679525435353,18.8261458520605,8.28197705886776,18.9229643664833
Puss in Boots,1,90,PG,130,126,3963,34077439,149260504,84,68,2011,10,17.3441461103881,18.6830450084199,8.28475659319044,18.82120368632
X-Men: First Class,1,131,PG-13,160,119,3692,55101604,146408305,87,87,2011,6,17.8246893844072,18.8906843731981,8.21392359562274,18.8019098860246
Rio,1,96,G,90,147,3842,39225962,143619809,72,71,2011,4,17.4848493814579,18.3153202282945,8.2537483433285,18.7826801507472
The Smurfs,1,86,PG,110,140,3427,35611637,142614158,22,44,2011,7,17.3881830244304,18.5159909237567,8.13944052187461,18.7756533457285
Alvin and the Chipmunks: Chipwrecked,1,87,G,75,175,3734,23244744,133110742,12,52,2011,12,16.9615895999251,18.1329986715006,8.22523532410167,18.7066919863447
Super 8,1,112,PG-13,50,112,3424,35451168,127004179,82,75,2011,6,17.3836667582135,17.7275335633924,8.13856473726163,18.6597305493933
Rango,1,107,PG,135,125,3923,38079323,123477607,88,69,2011,3,17.4551819893681,18.7207853364027,8.27461194620955,18.6315703777538
